"CP/LA/54","LA",54,"T/LA/775",1,"Suspect's","2/5/1672",2/5/1672 00:00:00,"High Court",,,,0,"LEM",5/9/2001 12:49:33,"LEM",5/9/2001 12:49:55
"CP/LA/55","LA",55,"T/LA/776",1,"Suspect's","15/7/1671",15/7/1671 00:00:00,"High Court",,,,0,"LEM",5/9/2001 12:56:27,"LEM",5/9/2001 12:58:20
"CP/LA/56","LA",56,"T/LA/777",1,"Suspect's","15/7/1671",15/7/1671 00:00:00,"High Court",,,,0,"LEM",5/9/2001 13:07:56,"LEM",5/9/2001 13:08:05
"CP/LA/57","LA",57,"T/LA/778",1,"Suspect's","15/7/1672",15/7/1672 00:00:00,"High Court",,,,0,"LEM",5/9/2001 13:09:51,"LEM",5/9/2001 13:10:01
"CP/LA/58","LA",58,"T/LA/800",1,"Family member","11/1/1631",11/1/1631 00:00:00,"Privy Council","AF/LA/249",,,0,"LEM",6/9/2001 16:15:06,"LEM",6/9/2001 16:17:01
"CP/LA/59","LA",59,"T/LA/810",1,"Suspect's","28/2/1632",28/2/1632 00:00:00,"Privy Council",,,,0,"LEM",7/9/2001 16:05:55,"LEM",7/9/2001 16:06:10
"CP/LA/6","LA",6,"T/LA/25",1,"Suspect's","22/2/1631",22/2/1631 00:00:00,"Privy Council",,,,0,"LEM",15/6/2001 09:55:25,"LEM",15/6/2001 09:56:01
"CP/LA/60","LA",60,"T/LA/813",1,"Suspect's","13/4/1632",13/4/1632 00:00:00,"Privy Council",,,,0,"LEM",7/9/2001 16:19:53,"LEM",7/9/2001 16:20:00
"CP/LA/61","LA",61,"T/LA/999",1,"Suspect's","13/4/1632",13/4/1632 00:00:00,"Privy Council",,,,0,"LEM",16/10/2001 11:50:56,"LEM",16/10/2001 11:51:20
"CP/LA/62","LA",62,"T/LA/1001",1,"Suspect's","14/1/1633",14/1/1633 00:00:00,"Privy Council",,,,0,"LEM",16/10/2001 12:41:47,"LEM",16/10/2001 12:42:20
"CP/LA/63","LA",63,"T/LA/1002",1,"Suspect's","14/1/1634",14/1/1634 00:00:00,"Privy Council",,,,0,"LEM",16/10/2001 13:12:47,"LEM",16/10/2001 13:12:56
"CP/LA/64","LA",64,"T/LA/40",1,"Suspect's","6/11/1644",6/11/1644 00:00:00,"Privy Council",,,,0,"LEM",18/10/2001 13:20:44,"LEM",18/10/2001 13:21:05
"CP/LA/65","LA",65,"T/LA/1074",1,"Suspect's","1/11/1644",1/11/1644 00:00:00,"Privy Council",,,,0,"LEM",22/10/2001 12:39:10,"LEM",22/10/2001 12:39:24
"CP/LA/66","LA",66,"T/LA/1075",1,"Suspect's","6/8/1644",6/8/1644 00:00:00,"Privy Council",,,,0,"LEM",22/10/2001 13:20:45,"LEM",22/10/2001 13:21:03
"CP/LA/67","LA",67,"T/LA/1076",1,"Suspect's","6/8/1644",6/8/1644 00:00:00,"Privy Council",,,,0,"LEM",22/10/2001 14:47:50,"LEM",22/10/2001 14:48:02
"CP/LA/68","LA",68,"T/JO/539",1,"Suspect's","8/8/1644",8/8/1644 00:00:00,"Privy Council",,,,0,"LEM",23/10/2001 10:15:09,"LEM",23/10/2001 10:15:29
"CP/LA/69","LA",69,"T/JO/436",1,"Unknown","13/1/1679",13/1/1679 00:00:00,"High Court",,,,0,"LEM",9/7/2002 15:45:07,"LEM",9/7/2002 15:45:20
"CP/LA/7","LA",7,"T/LA/104",1,"Suspect's","16/12/1633",16/12/1633 00:00:00,"Privy Council",,,,0,"LEM",15/6/2001 12:04:52,"LEM",15/6/2001 12:06:14
"CP/LA/70","LA",70,"T/LA/157",1,"Suspect's",,,"High Court",,,,0,"LEM",10/7/2002 16:22:20,"LEM",10/7/2002 16:22:31
"CP/LA/71","LA",71,"T/LA/1566",1,"Family member","22/4/1659",22/4/1659 00:00:00,"High Court","AF/LA/497",,,0,"LEM",15/7/2002 10:24:38,"LEM",15/7/2002 10:29:31
"CP/LA/72","LA",72,"T/LA/1115",1,"Suspect's",,,"King",,,,0,"LEM",26/7/2002 09:41:14,"LEM",26/7/2002 09:41:24
"CP/LA/73","LA",73,"T/JO/1699",1,"Suspect's","1/5/1705",1/5/1705 00:00:00,"Privy Council",,,,0,"LEM",14/8/2002 15:50:45,"LEM",14/8/2002 15:51:00
"CP/LA/74","LA",74,"T/LA/1247",1,"Suspect's","6/1/1699",6/1/1699 00:00:00,"Privy Council",,,,0,"LEM",28/8/2002 10:48:20,"LEM",28/8/2002 10:48:50
"CP/LA/75","LA",75,"T/JO/1174",1,"Suspect's",,,"Committee of Estates",,,,0,"LEM",2/9/2002 11:52:17,"LEM",2/9/2002 11:52:21
"CP/LA/76","LA",76,"T/JO/416",1,"Suspect's","3/10/1661",3/10/1661 00:00:00,"Privy Council",,,,0,"LEM",11/9/2002 16:44:22,"LEM",11/9/2002 16:44:55
"CP/LA/8","LA",8,"T/LA/104",1,"Suspect's","9/1/1634",9/1/1634 00:00:00,"Privy Council",,,,0,"LEM",15/6/2001 12:06:16,"LEM",15/6/2001 12:07:09
"CP/LA/9","LA",9,"T/LA/104",1,"Suspect's","11/2/1634",11/2/1634 00:00:00,"Privy Council",,,,0,"LEM",15/6/2001 12:07:11,"LEM",15/6/2001 12:07:28
